Entry	Entry Name	Mass	Length	Gene Names	Organism	Organism (ID)	Protein names
A0A0R4J093	A0A0R4J093_MOUSE	25715	227	Cmpk1 CMPK CMPK1	Mus musculus (Mouse)	10090	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
A0A0R4J0A9	A0A0R4J0A9_MOUSE	180309	1613	Lrp6	Mus musculus (Mouse)	10090	Low-density lipoprotein receptor-related protein
A0A0R4J0N8	A0A0R4J0N8_MOUSE	40412	359	Cxcr4	Mus musculus (Mouse)	10090	C-X-C chemokine receptor type 4
A0A0R4J104	A0A0R4J104_MOUSE	82213	766	Dab2	Mus musculus (Mouse)	10090	Disabled 2, mitogen-responsive phosphoprotein
A0A0R4J136	A0A0R4J136_MOUSE	29398	255	Srd5a1	Mus musculus (Mouse)	10090	3-oxo-5-alpha-steroid 4-dehydrogenase (EC 1.3.1.22)
A0A0R4J1M7	A0A0R4J1M7_MOUSE	227707	2020	Scn5a	Mus musculus (Mouse)	10090	Sodium channel protein
A0A0R4J1Q7	A0A0R4J1Q7_MOUSE	103125	906	Enpp1	Mus musculus (Mouse)	10090	Ectonucleotide pyrophosphatase/phosphodiesterase 1
A0A0U1RNJ1	A0A0U1RNJ1_MOUSE	272228	2502	Fasn	Mus musculus (Mouse)	10090	Fatty acid synthase (EC 1.1.1.100) (EC 1.3.1.39) (EC 2.3.1.38) (EC 2.3.1.39) (EC 2.3.1.41) (EC 2.3.1.85) (EC 3.1.2.14) (EC 4.2.1.59)
A0A0U1RNP3	A0A0U1RNP3_MOUSE	14670	124	Zfp950	Mus musculus (Mouse)	10090	Zinc finger protein 950
A0A0U1RNR0	A0A0U1RNR0_MOUSE	19754	180	Lipe	Mus musculus (Mouse)	10090	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase)
A0A0U1RPR8	GUC2D_MOUSE	122528	1117	Gucy2d	Mus musculus (Mouse)	10090	Guanylate cyclase D (EC 4.6.1.2)
A0A0U1RPR9	A0A0U1RPR9_MOUSE	9017	77	Zfp950	Mus musculus (Mouse)	10090	Zinc finger protein 950
A0A0U1RQ46	A0A0U1RQ46_MOUSE	71202	609	Zfp950	Mus musculus (Mouse)	10090	Zinc finger protein 950
A0A140LHU0	A0A140LHU0_MOUSE	93689	863	Adam9	Mus musculus (Mouse)	10090	A disintegrin and metallopeptidase domain 9 (meltrin gamma)
A0A140LI88	ANR31_MOUSE	206173	1857	Ankrd31	Mus musculus (Mouse)	10090	Ankyrin repeat domain-containing protein 31
A0A140LIF8	IRGM2_MOUSE	45205	395	Irgm2 Iigp2	Mus musculus (Mouse)	10090	Immunity-related GTPase family M protein 2 (EC 3.6.5.-) (Interferon-inducible GTPase 2)
A0A1B0GR95	A0A1B0GR95_MOUSE	7951	73	Abcc8	Mus musculus (Mouse)	10090	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
A0A1B0GRD7	A0A1B0GRD7_MOUSE	17324	158	Abcc8	Mus musculus (Mouse)	10090	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
A0A1B0GRJ9	A0A1B0GRJ9_MOUSE	106356	945	Pde2a	Mus musculus (Mouse)	10090	Phosphodiesterase (EC 3.1.4.-)
A0A1B0GSG2	A0A1B0GSG2_MOUSE	13606	123	Abcc8	Mus musculus (Mouse)	10090	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
A0A1B0GT25	A0A1B0GT25_MOUSE	101398	910	Abcc8	Mus musculus (Mouse)	10090	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
A0A1B0GT49	A0A1B0GT49_MOUSE	11206	100	Abcc8	Mus musculus (Mouse)	10090	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
A0A1D5RLD8	A0A1D5RLD8_MOUSE	35812	333	Gapdhrt2 Gm10358	Mus musculus (Mouse)	10090	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
A0A1D9BZF0	GCNA_MOUSE	53394	507	Gcna	Mus musculus (Mouse)	10090	Germ cell nuclear acidic protein (Acidic repeat-containing protein) (Germ cell nuclear antigen)
A0A1L1SQU7	A0A1L1SQU7_MOUSE	512193	4645	Fat1	Mus musculus (Mouse)	10090	FAT atypical cadherin 1
A0A1L1SUI3	A0A1L1SUI3_MOUSE	48428	450	Slc37a4	Mus musculus (Mouse)	10090	Solute carrier family 37 (glucose-6-phosphate transporter), member 4
A0A1L1SUV7	A0A1L1SUV7_MOUSE	11156	102	Slc37a4	Mus musculus (Mouse)	10090	Solute carrier family 37 (glucose-6-phosphate transporter), member 4
A0A1L1SV42	A0A1L1SV42_MOUSE	10850	96	Slc37a4	Mus musculus (Mouse)	10090	Solute carrier family 37 (glucose-6-phosphate transporter), member 4
A0A1W2P872	NOVA2_MOUSE	49067	492	Nova2	Mus musculus (Mouse)	10090	RNA-binding protein Nova-2
A0A1Y7VMC8	A0A1Y7VMC8_MOUSE	31420	277	Akr1c20	Mus musculus (Mouse)	10090	Aldo-keto reductase family 1, member C20
A0A1Y7VMN0	A0A1Y7VMN0_MOUSE	166790	1444	Rock2	Mus musculus (Mouse)	10090	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (p164 ROCK-2)
A0A1Y7VMP7	A0A1Y7VMP7_MOUSE	162524	1443	Mlh3	Mus musculus (Mouse)	10090	MutL homolog 3
A0A1Y7VNR1	A0A1Y7VNR1_MOUSE	5335	46	Akr1c14	Mus musculus (Mouse)	10090	Aldo-keto reductase family 1, member C14
A0A286YE25	A0A286YE25_MOUSE	66385	613	Spast SPAST SPG4	Mus musculus (Mouse)	10090	Spastin (EC 5.6.1.1)
A0A2R8VHR8	DT3UO_MOUSE	4240	34	Ddit3	Mus musculus (Mouse)	10090	DDIT3 upstream open reading frame protein (Alternative DDIT3 proteins) (AltDDIT3)
A0A338P6S8	A0A338P6S8_MOUSE	179513	1637	Abi3bp	Mus musculus (Mouse)	10090	ABI family member 3 binding protein
A0A385KNU8	A0A385KNU8_MOUSE	52831	473	Cnr1	Mus musculus (Mouse)	10090	Cannabinoid receptor 1
A0A3B2WC92	A0A3B2WC92_MOUSE	62737	581	Spast SPAST SPG4	Mus musculus (Mouse)	10090	Spastin (EC 5.6.1.1)
A0A3B2WCG4	A0A3B2WCG4_MOUSE	14659	133	Pot1b	Mus musculus (Mouse)	10090	Protection of telomeres 1B
A0A3B2WCZ2	A0A3B2WCZ2_MOUSE	39016	352	Pot1b	Mus musculus (Mouse)	10090	Protection of telomeres protein 1
A0A494B9E3	A0A494B9E3_MOUSE	7401	65	Tcirg1	Mus musculus (Mouse)	10090	V-type proton ATPase subunit a
A0A494BA31	B3A4_MOUSE	104989	952	Slc4a9 AE4	Mus musculus (Mouse)	10090	Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Solute carrier family 4 member 9)
A0A494BAW1	A0A494BAW1_MOUSE	174547	1545	Duox2	Mus musculus (Mouse)	10090	NAD(P)H oxidase (H2O2-forming) (EC 1.6.3.1)
A0A494BBH5	A0A494BBH5_MOUSE	20225	175	Sptbn2	Mus musculus (Mouse)	10090	Spectrin beta, non-erythrocytic 2
A0A571BDN7	A0A571BDN7_MOUSE	127651	1136	Nedd4	Mus musculus (Mouse)	10090	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)
A0A571BG59	A0A571BG59_MOUSE	447174	4114	Tnxb	Mus musculus (Mouse)	10090	Tenascin XB
A0A5F8MP90	A0A5F8MP90_MOUSE	45806	409	Oprk1	Mus musculus (Mouse)	10090	Kappa-type opioid receptor
A0A5F8MPH8	A0A5F8MPH8_MOUSE	474063	4356	Tnxb	Mus musculus (Mouse)	10090	Tenascin XB
A0A5F8MPI9	A0A5F8MPI9_MOUSE	122268	1087	Rapgef1	Mus musculus (Mouse)	10090	Rap guanine nucleotide exchange factor (GEF) 1
A0A5F8MPM8	A0A5F8MPM8_MOUSE	25350	225	Sptbn2	Mus musculus (Mouse)	10090	Spectrin beta, non-erythrocytic 2
A0A5F8MPU3	CTSRT_MOUSE	257620	2282	C2cd6 Als2cr11 CATSPERT	Mus musculus (Mouse)	10090	Cation channel sperm-associated targeting subunit tau (CatSper-tau) (C2 calcium-dependent domain-containing 6)
A0A5K7RLP0	MEIOS_MOUSE	65090	589	Meiosin Bhmg1	Mus musculus (Mouse)	10090	Meiosis initiator protein
A0A654ICD2	A0A654ICD2_MOUSE	43004	382	Gja1 Cxnk1	Mus musculus (Mouse)	10090	Gap junction protein
A0A6G6A824	A0A6G6A824_MOUSE	54967	475	Pten	Mus musculus (Mouse)	10090	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)
A0A7R8GUQ3	A0A7R8GUQ3_MOUSE	20641	178	Il10 If2a	Mus musculus (Mouse)	10090	Interleukin family protein
A0JNT9	BICL1_MOUSE	65287	577	Bicdl1 Bicdr1 Ccdc64	Mus musculus (Mouse)	10090	BICD family-like cargo adapter 1 (Bicaudal D-related protein 1) (BICD-related protein 1) (BICDR-1) (Coiled-coil domain-containing protein 64A)
A0JNU3	LPP60_MOUSE	60595	564	Aspg	Mus musculus (Mouse)	10090	60 kDa lysophospholipase (EC 3.1.1.5) (Lysophospholipase-transacylase) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); 1-alkyl-2-acetylglycerophosphocholine esterase (EC 3.1.1.47) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)]
A1A546	ISX_MOUSE	27169	240	Isx	Mus musculus (Mouse)	10090	Intestine-specific homeobox
A1A547	PGRP3_MOUSE	38503	347	Pglyrp3 Gm420 Pgrpia	Mus musculus (Mouse)	10090	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)
A1E960	ODAM_MOUSE	29820	273	Odam Apin	Mus musculus (Mouse)	10090	Odontogenic ameloblast-associated protein (Apin)
A1L314	MPEG1_MOUSE	78390	713	Mpeg1	Mus musculus (Mouse)	10090	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) (PFN2) (mPFN2) (Protein MPS1) [Cleaved into: Macrophage-expressed gene 1 protein, processed form]
A1L338	A1L338_MOUSE	132020	1185	Rapgef1	Mus musculus (Mouse)	10090	Rap guanine nucleotide exchange factor (GEF) 1 (Rapgef1 protein)
A1L3P4	SL9A6_MOUSE	77953	702	Slc9a6 Nhe6	Mus musculus (Mouse)	10090	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 6)
A1Y9I9	TOMT_MOUSE	28846	258	Tomt Comt2	Mus musculus (Mouse)	10090	Transmembrane O-methyltransferase homolog (mTOMT) (EC 2.1.1.6) (Catechol O-methyltransferase 2)
A1Z198	NL1B2_MOUSE	134163	1177	Nlrp1b Nalp1b	Mus musculus (Mouse)	10090	NACHT, LRR and PYD domains-containing protein 1b allele 2 (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1b, C-terminus (Nlrp1b1-CT); NACHT, LRR and PYD domains-containing protein 1b, N-terminus (Nlrp1b1-NT)]
A2A259	PK2L1_MOUSE	87234	760	Pkd2l1 Trpp3	Mus musculus (Mouse)	10090	Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog)
A2A432	CUL4B_MOUSE	110699	970	Cul4b Kiaa0695	Mus musculus (Mouse)	10090	Cullin-4B (CUL-4B)
A2A5K6	ZN335_MOUSE	145603	1337	Znf335 Zfp335	Mus musculus (Mouse)	10090	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)
A2A5N8	LMBL1_MOUSE	91781	826	L3mbtl1 Kiaa0681 L3mbt L3mbtl	Mus musculus (Mouse)	10090	Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog)
A2A5R2	BIG2_MOUSE	202240	1792	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)
A2A5Z6	SMUF2_MOUSE	86175	748	Smurf2	Mus musculus (Mouse)	10090	E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)
A2A6C4	SPP2C_MOUSE	76266	690	Sppl2c Imp5	Mus musculus (Mouse)	10090	Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5)
A2A6M5	CACO2_MOUSE	40136	331	Calcoco2 Ndp52 Ndp52l1	Mus musculus (Mouse)	10090	Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52)
A2A6Q5	CDC27_MOUSE	91842	825	Cdc27	Mus musculus (Mouse)	10090	Cell division cycle protein 27 homolog
A2A7Q9	RN19B_MOUSE	78127	732	Rnf19b Ibrdc3 Nklam	Mus musculus (Mouse)	10090	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)
A2A813	A2A813_MOUSE	18474	175	Park7	Mus musculus (Mouse)	10090	protein deglycase (EC 3.5.1.124) (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (Protein/nucleic acid deglycase DJ-1)
A2A815	A2A815_MOUSE	14243	135	Park7	Mus musculus (Mouse)	10090	protein deglycase (EC 3.5.1.124) (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (Protein/nucleic acid deglycase DJ-1)
A2A825	CPLN2_MOUSE	28422	258	Cplane2 Gm723 Rsg1	Mus musculus (Mouse)	10090	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)
A2A863	ITB4_MOUSE	201650	1818	Itgb4	Mus musculus (Mouse)	10090	Integrin beta-4 (CD antigen CD104)
A2A884	ZEP3_MOUSE	253413	2348	Hivep3 KBP1 Kiaa1555 Krc Rc shn3 Zas3	Mus musculus (Mouse)	10090	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3 homolog) (KB-binding and recognition component) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Recombinant component) (Schnurri-3) (Zinc finger protein ZAS3)
A2A891	CMTA1_MOUSE	184319	1682	Camta1 Kiaa0833	Mus musculus (Mouse)	10090	Calmodulin-binding transcription activator 1
A2A8L1	CHD5_MOUSE	222515	1946	Chd5 Kiaa0444	Mus musculus (Mouse)	10090	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)
A2A8L5	PTPRF_MOUSE	211489	1898	Ptprf Lar	Mus musculus (Mouse)	10090	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)
A2A8U2	TM201_MOUSE	72500	664	Tmem201 D4Ertd429e Net5 Samp1	Mus musculus (Mouse)	10090	Transmembrane protein 201 (Spindle-associated membrane protein 1)
A2A935	PRD16_MOUSE	140858	1275	Prdm16 Kiaa1675 Mel1	Mus musculus (Mouse)	10090	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)
A2A974	CP4CB_MOUSE	58309	508	Cyp4a12b	Mus musculus (Mouse)	10090	Cytochrome P450 4A12B (EC 1.14.14.1)
A2A9A2	DMTA2_MOUSE	52927	531	Dmrta2 Dmrt5	Mus musculus (Mouse)	10090	Doublesex- and mab-3-related transcription factor A2 (Doublesex- and mab-3-related transcription factor 5)
A2A9C3	SZT2_MOUSE	377627	3431	Szt2	Mus musculus (Mouse)	10090	KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)
A2A9F4	KDF1_MOUSE	43496	397	Kdf1	Mus musculus (Mouse)	10090	Keratinocyte differentiation factor 1
A2AA28	MET23_MOUSE	28289	253	Mettl23	Mus musculus (Mouse)	10090	Histone-arginine methyltransferase METTL23 (EC 2.1.1.319) (Methyltransferase-like protein 23)
A2AAE1	BLTP1_MOUSE	555365	5005	Bltp1 Fsa Kiaa1109 Kiaa1371	Mus musculus (Mouse)	10090	Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein homolog)
A2AAJ9	OBSCN_MOUSE	966591	8886	Obscn Gm878	Mus musculus (Mouse)	10090	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)
A2AAY5	SPD2B_MOUSE	101517	908	Sh3pxd2b Fad49 Tks4	Mus musculus (Mouse)	10090	SH3 and PX domain-containing protein 2B (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A2ABV5	MED14_MOUSE	160966	1459	Med14 Crsp2 Gm641 Trap170	Mus musculus (Mouse)	10090	Mediator of RNA polymerase II transcription subunit 14 (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170)
A2AC93	DNAI2_MOUSE	70968	623	Dnai2 Dnaic2	Mus musculus (Mouse)	10090	Dynein axonemal intermediate chain 2 (Axonemal dynein intermediate chain 2)
A2AD83	FRMD7_MOUSE	80330	703	Frmd7	Mus musculus (Mouse)	10090	FERM domain-containing protein 7
A2AF47	DOC11_MOUSE	237771	2073	Dock11 Ziz2	Mus musculus (Mouse)	10090	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)
A2AG06	MEIOC_MOUSE	108830	965	Meioc Gm1564	Mus musculus (Mouse)	10090	Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)
A2AG68	A2AG68_MOUSE	162030	1492	Atp7a	Mus musculus (Mouse)	10090	P-type Cu(+) transporter (EC 7.2.2.8)
A2AGH6	MED12_MOUSE	244561	2190	Med12 Kiaa0192 Mopa Tnrc11 Trap230	Mus musculus (Mouse)	10090	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein)
A2AGL3	RYR3_MOUSE	551328	4863	Ryr3	Mus musculus (Mouse)	10090	Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)
A2AGT5	CKAP5_MOUSE	225635	2032	Ckap5	Mus musculus (Mouse)	10090	Cytoskeleton-associated protein 5
A2AH22	AMRA1_MOUSE	142879	1300	Ambra1 Kiaa1736	Mus musculus (Mouse)	10090	Activating molecule in BECN1-regulated autophagy protein 1
A2AHL1	ANO3_MOUSE	114568	981	Ano3 Tmem16c	Mus musculus (Mouse)	10090	Anoctamin-3 (Transmembrane protein 16C)
A2AI05	NDOR1_MOUSE	67183	598	Ndor1	Mus musculus (Mouse)	10090	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)
A2AI21	A2AI21_MOUSE	108017	959	Grin1	Mus musculus (Mouse)	10090	Glutamate receptor
A2AIR5	NMD3A_MOUSE	127542	1135	Grin3a Kiaa1973	Mus musculus (Mouse)	10090	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)
A2AIV2	VIR_MOUSE	201439	1811	Virma Kiaa1429	Mus musculus (Mouse)	10090	Protein virilizer homolog
A2AIV8	CARD9_MOUSE	62462	536	Card9	Mus musculus (Mouse)	10090	Caspase recruitment domain-containing protein 9
A2AIW0	ENTR1_MOUSE	48025	432	Entr1 Sdccag3	Mus musculus (Mouse)	10090	Endosome-associated-trafficking regulator 1 (Serologically defined colon cancer antigen 3)
A2AJ15	MA1B1_MOUSE	75150	658	Man1b1	Mus musculus (Mouse)	10090	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)
A2AJ76	HMCN2_MOUSE	547198	5100	Hmcn2	Mus musculus (Mouse)	10090	Hemicentin-2
A2AJ77	PRD12_MOUSE	40303	365	Prdm12 Gm998	Mus musculus (Mouse)	10090	PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12)
A2AJ88	PLPL7_MOUSE	150494	1352	Pnpla7	Mus musculus (Mouse)	10090	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5) (Neuropathy target esterase-related esterase) (NRE) (NTE-related esterase)
A2AJB7	LCN5_MOUSE	21013	192	Lcn5 Mep10	Mus musculus (Mouse)	10090	Epididymal-specific lipocalin-5 (Epididymal retinoic acid-binding protein) (E-RABP) (mE-RABP) (Epididymal secretory protein 10) (MEP 10) [Cleaved into: Epididymal-specific lipocalin-5, major form; Epididymal-specific lipocalin-5, minor form]
A2AJK6	CHD7_MOUSE	334061	2986	Chd7	Mus musculus (Mouse)	10090	Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7)
A2AJN7	S4A11_MOUSE	96751	862	Slc4a11 BTR1	Mus musculus (Mouse)	10090	Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1)
A2AJX4	MALR1_MOUSE	236194	2123	Malrd1 Diet1 Gm13318	Mus musculus (Mouse)	10090	MAM and LDL-receptor class A domain-containing protein 1
A2AKK5	ACNT1_MOUSE	46071	416	Acnat1	Mus musculus (Mouse)	10090	Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)
A2AKQ0	S35D1_MOUSE	39272	355	Slc35d1	Mus musculus (Mouse)	10090	Nucleotide sugar transporter SLC35D1 (Solute carrier family 35 member D1) (UDP-galactose transporter-related protein 7) (UGTrel7) (UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter) (UDP-GlcA/UDP-GalNAc transporter)
A2AKX3	SETX_MOUSE	297589	2646	Setx Als4 Kiaa0625	Mus musculus (Mouse)	10090	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein homolog) (SEN1 homolog)
A2AL36	CNTRL_MOUSE	268880	2334	Cntrl Cep1 Cep110	Mus musculus (Mouse)	10090	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)
A2ALS5	RPGP1_MOUSE	73433	663	Rap1gap Kiaa0474 Rap1ga1	Mus musculus (Mouse)	10090	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1) (ARPP-90)
A2ALU4	SHRM2_MOUSE	164703	1481	Shroom2 Apxl	Mus musculus (Mouse)	10090	Protein Shroom2 (Protein Apxl)
A2ALV5	SHOC1_MOUSE	168065	1481	Shoc1 Zip2	Mus musculus (Mouse)	10090	Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-) (Protein ZIP2 homolog) (MZip2)
A2AM29	AF9_MOUSE	63375	569	Mllt3 Af9	Mus musculus (Mouse)	10090	Protein AF-9 (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein homolog)
